n_hidden = 64
max level = 3
conv size = 64
fp len = 0
batch_size = 50
max_epoch = 200000
test_interval = 1000
report_interval = 100
save_interval = 10000
lr = 0.001
l2_penalty = 0
momentum = 0.9
init iter = 0
device id = 0
loading indexes data/ENZYMES/10fold_idx/train_idx-1.txt
loading indexes data/ENZYMES/10fold_idx/test_idx-1.txt
dimension of node feature: 2
testing
iter: 21600	ReduceMean_21:out_0: 0.190689	ReduceMean_25:out_0: 0.94
iter: 21700	ReduceMean_21:out_0: 0.0578462	ReduceMean_25:out_0: 1
iter: 21800	ReduceMean_21:out_0: 0.238233	ReduceMean_25:out_0: 0.92
iter: 21900	ReduceMean_21:out_0: 0.0461128	ReduceMean_25:out_0: 1
testing
test@iter: 22000	ReduceMean_21:out_0: 3.84754	ReduceMean_25:out_0: 0.616667
iter: 22000	ReduceMean_21:out_0: 0.00678404	ReduceMean_25:out_0: 1
iter: 22100	ReduceMean_21:out_0: 0.0240202	ReduceMean_25:out_0: 1
iter: 22200	ReduceMean_21:out_0: 0.013518	ReduceMean_25:out_0: 1
iter: 22300	ReduceMean_21:out_0: 0.165321	ReduceMean_25:out_0: 0.92
iter: 22400	ReduceMean_21:out_0: 0.143324	ReduceMean_25:out_0: 0.98
iter: 22500	ReduceMean_21:out_0: 0.027586	ReduceMean_25:out_0: 1
iter: 22600	ReduceMean_21:out_0: 0.0318768	ReduceMean_25:out_0: 0.98
iter: 22700	ReduceMean_21:out_0: 0.0428829	ReduceMean_25:out_0: 0.98
iter: 22800	ReduceMean_21:out_0: 0.0144005	ReduceMean_25:out_0: 1
iter: 22900	ReduceMean_21:out_0: 0.251903	ReduceMean_25:out_0: 0.9
testing
test@iter: 23000	ReduceMean_21:out_0: 3.49921	ReduceMean_25:out_0: 0.583333
iter: 23000	ReduceMean_21:out_0: 0.0395087	ReduceMean_25:out_0: 1
iter: 23100	ReduceMean_21:out_0: 0.191878	ReduceMean_25:out_0: 0.92
iter: 23200	ReduceMean_21:out_0: 0.492702	ReduceMean_25:out_0: 0.88
iter: 23300	ReduceMean_21:out_0: 0.0567131	ReduceMean_25:out_0: 1
iter: 23400	ReduceMean_21:out_0: 0.00484237	ReduceMean_25:out_0: 1
iter: 23500	ReduceMean_21:out_0: 0.0306345	ReduceMean_25:out_0: 0.98
iter: 23600	ReduceMean_21:out_0: 0.0160415	ReduceMean_25:out_0: 1
iter: 23700	ReduceMean_21:out_0: 0.148452	ReduceMean_25:out_0: 0.98
iter: 23800	ReduceMean_21:out_0: 0.0450708	ReduceMean_25:out_0: 1
iter: 23900	ReduceMean_21:out_0: 0.0138464	ReduceMean_25:out_0: 1
testing
test@iter: 24000	ReduceMean_21:out_0: 3.71286	ReduceMean_25:out_0: 0.616667
iter: 24000	ReduceMean_21:out_0: 0.00522303	ReduceMean_25:out_0: 1
iter: 24100	ReduceMean_21:out_0: 0.00461648	ReduceMean_25:out_0: 1
iter: 24200	ReduceMean_21:out_0: 0.0043499	ReduceMean_25:out_0: 1
iter: 24300	ReduceMean_21:out_0: 0.0104435	ReduceMean_25:out_0: 1
iter: 24400	ReduceMean_21:out_0: 0.00321424	ReduceMean_25:out_0: 1
iter: 24500	ReduceMean_21:out_0: 0.00438908	ReduceMean_25:out_0: 1
iter: 24600	ReduceMean_21:out_0: 0.00439489	ReduceMean_25:out_0: 1
iter: 24700	ReduceMean_21:out_0: 0.0216477	ReduceMean_25:out_0: 1
iter: 24800	ReduceMean_21:out_0: 0.00873782	ReduceMean_25:out_0: 1
iter: 24900	ReduceMean_21:out_0: 0.0104423	ReduceMean_25:out_0: 1
testing
test@iter: 25000	ReduceMean_21:out_0: 4.01108	ReduceMean_25:out_0: 0.6
iter: 25000	ReduceMean_21:out_0: 0.071556	ReduceMean_25:out_0: 0.98
iter: 25100	ReduceMean_21:out_0: 0.00312334	ReduceMean_25:out_0: 1
iter: 25200	ReduceMean_21:out_0: 0.00668765	ReduceMean_25:out_0: 1
iter: 25300	ReduceMean_21:out_0: 0.00301118	ReduceMean_25:out_0: 1
iter: 25400	ReduceMean_21:out_0: 0.0989304	ReduceMean_25:out_0: 0.94
iter: 25500	ReduceMean_21:out_0: 0.0600242	ReduceMean_25:out_0: 0.98
iter: 25600	ReduceMean_21:out_0: 0.13183	ReduceMean_25:out_0: 0.92
iter: 25700	ReduceMean_21:out_0: 0.0111511	ReduceMean_25:out_0: 1
iter: 25800	ReduceMean_21:out_0: 0.0026205	ReduceMean_25:out_0: 1
